TAHUN,NAMA PROVINSI,NAMA KABUPATEN/KOTA,NAMA KECAMATAN,NAMA KELURAHAN,LAKI-LAKI WNI,PEREMPUAN WNI,LAKI-LAKI WNA,PEREMPUAN WNA,,,,,,,,,
2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,GAMBIR,1790,1690,1,2,,,,,,,,,
2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,9159,9206,5,6,,,,,,,,,
2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,10811,10436,10,8,,,,,,,,,
2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,8455,8023,5,7,,,,,,,,,
2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,6300,6078,6,10,,,,,,,,,
2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,DURI PULO,13056,12588,2,6,,,,,,,,,
2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,7557,7552,34,55,,,,,,,,,
2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,16327,15859,4,2,,,,,,,,,
2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARTINI,13610,13808,3,3,,,,,,,,,
2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,9734,9889,15,30,,,,,,,,,
2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,17269,16458,42,33,,,,,,,,,
2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,12365,11932,6,8,,,,,,,,,
2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,15933,15665,33,25,,,,,,,,,
2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,13523,13049,2,3,,,,,,,,,
2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,SERDANG,17284,17020,1,1,,,,,,,,,
2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,11730,11487,13,15,,,,,,,,,
2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,19103,18601,,3,,,,,,,,,
2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,13441,13288,20,13,,,,,,,,,
2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,17125,16351,4,3,,,,,,,,,
2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,SENEN,4236,3975,10,7,,,,,,,,,
2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,KENARI,5445,5252,2,,,,,,,,,,
2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,PASEBAN,13787,13477,,,,,,,,,,,
2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,KRAMAT,17482,16331,2,2,,,,,,,,,
2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,KWITANG,9176,9148,1,1,,,,,,,,,
2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,11200,10849,4,3,,,,,,,,,
2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,13630,13686,24,24,,,,,,,,,
2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,20029,19681,12,2,,,,,,,,,
2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,12462,12465,1,3,,,,,,,,,
2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,MENTENG,14576,14610,7,10,,,,,,,,,
2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,PEGANGSAAN,13392,13214,2,,,,,,,,,,
2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,CIKINI,4825,4772,5,1,,,,,,,,,
2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,GONDANGDIA,2196,2443,11,13,,,,,,,,,
2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,KEBON SIRIH,7976,7439,2,2,,,,,,,,,
2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,GELORA,1865,1883,6,2,,,,,,,,,
2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,12713,12582,11,2,,,,,,,,,
2013,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,11002,10271,10,3,,,,,,,,,
